x: 1.000000, y: 4.000000
x: 1.000017, y: 4.000016
x: 1.000133, y: 4.000125
x: 1.000442, y: 4.000415
x: 1.001036, y: 4.000971
x: 1.001999, y: 4.001872
x: 1.003414, y: 4.003194
x: 1.005357, y: 4.005006
x: 1.007903, y: 4.007377
x: 1.011119, y: 4.010368
x: 1.015070, y: 4.014036
x: 1.019815, y: 4.018434
x: 1.025410, y: 4.023611
x: 1.031902, y: 4.029609
x: 1.039337, y: 4.036465
x: 1.047753, y: 4.044211
x: 1.057183, y: 4.052875
x: 1.067654, y: 4.062476
x: 1.079185, y: 4.073029
x: 1.091793, y: 4.084543
x: 1.105486, y: 4.097021
x: 1.120265, y: 4.110460
x: 1.136128, y: 4.124852
x: 1.153064, y: 4.140182
x: 1.171058, y: 4.156429
x: 1.190089, y: 4.173570
x: 1.210129, y: 4.191573
x: 1.231148, y: 4.210405
x: 1.253108, y: 4.230025
x: 1.275970, y: 4.250391
x: 1.299689, y: 4.271457
x: 1.324216, y: 4.293172
x: 1.349503, y: 4.315487
x: 1.375495, y: 4.338345
x: 1.402137, y: 4.361693
x: 1.429373, y: 4.385473
x: 1.457147, y: 4.409628
x: 1.485399, y: 4.434100
x: 1.514073, y: 4.458832
x: 1.543111, y: 4.483768
x: 1.572457, y: 4.508851
x: 1.602056, y: 4.534027
x: 1.631853, y: 4.559244
x: 1.661797, y: 4.584449
x: 1.691837, y: 4.609595
x: 1.721927, y: 4.634634
x: 1.752021, y: 4.659521
x: 1.782076, y: 4.684216
x: 1.812052, y: 4.708677
x: 1.841912, y: 4.732869
x: 1.871622, y: 4.756757
x: 1.901149, y: 4.780309
x: 1.930466, y: 4.803498
x: 1.959546, y: 4.826295
x: 1.988366, y: 4.848678
x: 2.016906, y: 4.870625
x: 2.045146, y: 4.892116
x: 2.073072, y: 4.913135
x: 2.100670, y: 4.933667
x: 2.127930, y: 4.953699
x: 2.154842, y: 4.973220
x: 2.181400, y: 4.992221
x: 2.207600, y: 5.010694
x: 2.233438, y: 5.028633
x: 2.258913, y: 5.046034
x: 2.284025, y: 5.062894
x: 2.308776, y: 5.079209
x: 2.333169, y: 5.094980
x: 2.357209, y: 5.110205
x: 2.380900, y: 5.124886
x: 2.404251, y: 5.139024
x: 2.427267, y: 5.152622
x: 2.449957, y: 5.165681
x: 2.472331, y: 5.178207
x: 2.494398, y: 5.190201
x: 2.516168, y: 5.201669
x: 2.537653, y: 5.212615
x: 2.558864, y: 5.223044
x: 2.579813, y: 5.232960
x: 2.600512, y: 5.242369
x: 2.620973, y: 5.251277
x: 2.641210, y: 5.259689
x: 2.661234, y: 5.267611
x: 2.681060, y: 5.275048
x: 2.700700, y: 5.282006
x: 2.720168, y: 5.288492
x: 2.739476, y: 5.294510
x: 2.758639, y: 5.300067
x: 2.777668, y: 5.305170
x: 2.796577, y: 5.309823
x: 2.815378, y: 5.314035
x: 2.834085, y: 5.317810
x: 2.852708, y: 5.321156
x: 2.871260, y: 5.324079
x: 2.889752, y: 5.326586
x: 2.908195, y: 5.328685
x: 2.926598, y: 5.330383
x: 2.944972, y: 5.331688
x: 2.963325, y: 5.332608
x: 2.981666, y: 5.333154
x: 3.000000, y: 5.333333
x: 3.018335, y: 5.333156
x: 3.036679, y: 5.332629
x: 3.055040, y: 5.331757
x: 3.073427, y: 5.330544
x: 3.091847, y: 5.328995
x: 3.110308, y: 5.327115
x: 3.128815, y: 5.324909
x: 3.147375, y: 5.322380
x: 3.165994, y: 5.319534
x: 3.184677, y: 5.316375
x: 3.203429, y: 5.312907
x: 3.222255, y: 5.309136
x: 3.241157, y: 5.305064
x: 3.260141, y: 5.300698
x: 3.279210, y: 5.296042
x: 3.298366, y: 5.291100
x: 3.317612, y: 5.285878
x: 3.336950, y: 5.280382
x: 3.356382, y: 5.274615
x: 3.375909, y: 5.268584
x: 3.395532, y: 5.262294
x: 3.415253, y: 5.255751
x: 3.435071, y: 5.248962
x: 3.454987, y: 5.241931
x: 3.475000, y: 5.234667
x: 3.495109, y: 5.227174
x: 3.515315, y: 5.219461
x: 3.535614, y: 5.211534
x: 3.556006, y: 5.203401
x: 3.576489, y: 5.195068
x: 3.597060, y: 5.186545
x: 3.617718, y: 5.177838
x: 3.638458, y: 5.168956
x: 3.659280, y: 5.159907
x: 3.680178, y: 5.150700
x: 3.701149, y: 5.141343
x: 3.722190, y: 5.131847
x: 3.743297, y: 5.122219
x: 3.764465, y: 5.112469
x: 3.785691, y: 5.102607
x: 3.806968, y: 5.092642
x: 3.828294, y: 5.082584
x: 3.849662, y: 5.072444
x: 3.871068, y: 5.062231
x: 3.892506, y: 5.051955
x: 3.913972, y: 5.041627
x: 3.935460, y: 5.031257
x: 3.956964, y: 5.020856
x: 3.978479, y: 5.010433
x: 4.000000, y: 5.000000
x: 4.021521, y: 4.989567
x: 4.043036, y: 4.979144
x: 4.064540, y: 4.968743
x: 4.086028, y: 4.958373
x: 4.107494, y: 4.948045
x: 4.128932, y: 4.937769
x: 4.150338, y: 4.927556
x: 4.171706, y: 4.917416
x: 4.193032, y: 4.907358
x: 4.214309, y: 4.897393
x: 4.235535, y: 4.887531
x: 4.256703, y: 4.877781
x: 4.277810, y: 4.868153
x: 4.298851, y: 4.858657
x: 4.319822, y: 4.849300
x: 4.340720, y: 4.840093
x: 4.361542, y: 4.831044
x: 4.382282, y: 4.822162
x: 4.402940, y: 4.813455
x: 4.423511, y: 4.804932
x: 4.443994, y: 4.796599
x: 4.464386, y: 4.788466
x: 4.484685, y: 4.780539
x: 4.504891, y: 4.772826
x: 4.525000, y: 4.765333
x: 4.545013, y: 4.758069
x: 4.564929, y: 4.751038
x: 4.584747, y: 4.744249
x: 4.604468, y: 4.737706
x: 4.624091, y: 4.731416
x: 4.643618, y: 4.725385
x: 4.663050, y: 4.719618
x: 4.682388, y: 4.714122
x: 4.701634, y: 4.708900
x: 4.720790, y: 4.703958
x: 4.739859, y: 4.699302
x: 4.758843, y: 4.694936
x: 4.777745, y: 4.690864
x: 4.796571, y: 4.687093
x: 4.815323, y: 4.683625
x: 4.834006, y: 4.680466
x: 4.852625, y: 4.677620
x: 4.871185, y: 4.675091
x: 4.889692, y: 4.672885
x: 4.908153, y: 4.671005
x: 4.926573, y: 4.669456
x: 4.944960, y: 4.668243
x: 4.963321, y: 4.667371
x: 4.981665, y: 4.666844
x: 5.000000, y: 4.666667
x: 5.018335, y: 4.666844
x: 5.036679, y: 4.667371
x: 5.055040, y: 4.668243
x: 5.073427, y: 4.669456
x: 5.091847, y: 4.671005
x: 5.110308, y: 4.672885
x: 5.128815, y: 4.675091
x: 5.147375, y: 4.677620
x: 5.165994, y: 4.680466
x: 5.184677, y: 4.683625
x: 5.203429, y: 4.687093
x: 5.222255, y: 4.690864
